,extension,L,VA,SA,N,location,working_hours,price,const_year
256,E,1,0,0,1,FR,5977,115000,2015
257,D,0,0,0,0,BG,11700,39880,2006
258,F,1,0,0,0,NL,3980,129000,2017
259,D,1,0,0,1,IT,14717,39000,2008
260,D,1,0,0,1,IT,5678,69000,2010
261,E,0,0,0,0,FR,6830,130000,2015
262,D,1,0,0,0,PL,9971,61350,2010
263,D,0,0,0,0,NO,8795,64674,2011
264,D,0,0,0,0,NL,8898,49800,2011
265,NG,0,0,0,0,BE,4127,153000,2018
266,F,1,0,0,0,PL,5353,103000,2017
267,E,1,0,0,1,FR,3344,105000,2015
268,F,1,0,0,0,PL,5268,123100,2017
269,D,1,0,0,0,RO,9300,45900,2006
270,E,1,0,0,1,IT,3126,118000,2016
271,E,1,0,0,1,FR,2890,124000,2016
272,D,0,0,0,0,NL,14554,52900,2006
273,D,0,0,0,0,NL,14580,54900,2007
274,D,1,0,0,0,NL,12981,49900,2009
276,D,1,0,0,0,PL,16000,48900,2011
277,E,0,0,1,0,FR,6844,109000,2015
278,E,1,0,0,0,PL,4897,121000,2016
279,E,0,0,1,0,DE,6000,128500,2015
280,E,0,0,1,0,DE,5800,129500,2015
281,D,1,1,0,0,DE,10800,46900,2009
282,D,1,1,0,0,DE,10500,49850,2009
283,D,1,0,0,1,HR,14880,45000,2008
284,E,1,0,0,0,DE,9480,66500,2012
285,D,1,0,0,0,NL,10745,64000,2011
286,E,1,0,0,0,DE,11200,58000,2011
287,E,1,0,0,0,DE,7796,69900,2011
288,F,1,0,0,0,DE,5550,94000,2016
289,NG,0,0,0,0,CZ,390,196000,2019
290,E,1,0,0,0,NL,11595,64800,2014
291,F,1,0,0,0,DE,5800,124900,2017
292,,0,0,0,0,DE,5063,104000,2016
293,D3,0,0,0,0,NL,5,117500,2022
294,D3,0,0,0,0,NL,7,117500,2021
295,D3,0,0,0,0,NL,10,114500,2021
296,D3,0,0,0,0,NL,7,114500,2021
297,D3,0,0,0,0,NL,10,114500,2022
298,D3,0,0,0,0,NL,6,114800,2022
299,D3,0,0,0,0,BE,4,114000,2021
300,D3,0,0,0,0,NL,6,113000,2021
301,D3,0,0,0,0,NL,4,114900,2021
302,D3,0,0,0,0,NL,12,109800,2020
303,D3,0,0,0,0,NL,8,117500,2021
304,D3,0,0,0,0,NL,5,115000,2021
305,D3,0,0,0,0,NL,4,112400,2021
306,D3,0,0,0,0,NL,6,114800,2021
307,D3,0,0,0,0,NL,5,114800,2021
308,D3,0,0,0,0,NL,4,114800,2021
309,D3,0,0,0,0,NL,6,114000,2021
310,D3,0,0,0,0,NL,11,114800,2021
311,F,1,0,0,0,PL,4,128000,2017
312,F,1,0,0,0,PL,5,122532,2017
313,E,1,0,0,0,PL,4,121000,2016
314,E,1,0,0,1,FR,2,124000,2016
315,E,0,0,0,0,FR,6,130000,2015
316,E,1,0,0,1,FR,3,105000,2015
317,E,1,0,0,1,FR,5,115000,2015
318,E,1,0,0,0,NL,8,69800,2013
319,F,1,0,0,0,NL,6,99500,2016
320,F,1,0,0,0,NL,3,119500,2017
321,E,1,0,0,0,DE,8,82000,2015
322,D3,0,0,0,0,NL,5,112400,2021
323,D,0,0,0,0,NL,10,119000,2020
324,D3,0,0,0,0,BE,3,115000,2021
325,D3,0,0,0,0,NL,12,114800,2020
326,D3,0,0,0,0,NL,11,114800,2020
327,D,0,0,0,0,NL,5,112500,2019
328,D,0,0,0,0,NL,6,112500,2020
329,D3,0,0,0,0,NL,5,112500,2020
330,D3,0,0,0,0,NL,8,114900,2021
331,D3,0,0,0,0,NL,5,114900,2021
332,D3,0,0,0,0,DE,7,112500,2020
