,extension,LGP,XL,3B,4F,location,working_hours,price,const_year
314,N,1,0,0,0,PL,11900,57500,2010
315,K,0,1,0,0,LT,15013,49000,2008
316,N,0,0,0,0,NL,22355,47800,2006
317,K,1,0,0,0,NL,11626,76500,2011
318,N,1,0,0,0,EE,9300,39000,2010
319,N,1,0,0,0,BE,7345,119000,2015
320,K,1,0,0,0,NL,13338,69500,2013
321,K,0,0,0,0,DE,2238,145000,2018
322,R,1,0,0,0,NL,13575,62900,2007
323,R,1,0,0,0,DE,8017,69500,2006
324,K,1,0,0,0,AT,7505,123000,2014
325,T,0,0,0,0,RO,7581,110500,2014
326,N,0,0,0,0,PL,14803,74550,2007
327,K,1,0,0,0,NL,8959,43000,2010
328,K,0,0,0,0,FI,8660,110102,2008
329,N,1,0,0,0,HU,10735,134625,2014
331,N,0,1,0,0,IT,7700,115000,2014
332,K,1,0,0,0,CZ,4000,158000,2018
333,K,1,0,0,0,RO,9032,79900,2007
334,N,1,0,0,0,AT,11967,61800,2006
335,M,1,0,0,0,PL,12831,35740,2002
336,N,0,1,0,0,HU,22897,68958,2005
337,R,0,0,0,0,RU,42500,26978,2007
340,N,0,0,0,0,PL,15620,58500,2007
341,R,0,0,0,0,RU,20450,81813,2010
342,N,1,0,0,0,PL,7296,112643,2014
343,R,0,0,0,0,RU,17000,86626,2012
344,N,1,0,0,0,PL,5920,150165,2014
345,K,0,1,0,0,ES,9900,69500,2008
346,N,1,0,0,0,RO,9600,125000,2014
348,R,0,1,0,0,NL,19500,50000,2003
349,R,0,1,0,0,PL,16380,58000,2008
350,T,1,0,0,0,SE,10600,102999,2010
351,T,1,0,0,0,NO,10145,130269,2013
352,T,0,1,0,0,HU,2100,175000,2015
353,T,1,0,0,0,BE,15900,69900,2010
355,N,0,1,0,0,PL,10500,64000,2008
356,N,1,0,0,0,RU,12500,92100,2013
357,N,1,0,0,0,PL,13264,79731,2012
358,M,1,0,0,0,HU,11500,44900,2002
359,R,1,0,0,0,RO,9500,49000,2009
360,K,0,0,0,0,LT,6200,58500,2010
361,N,1,0,0,0,PL,14745,64440,2007
362,N,1,0,0,0,PL,6730,176063,2016
363,N,1,0,0,0,SE,10800,117603,2011
364,K,0,1,0,0,HU,11126,103035,2014
365,T,1,0,0,0,ES,13900,100000,2011
366,R,0,0,0,0,FI,20400,71000,2007
367,N,1,0,0,0,RO,11000,46500,2009
368,K,1,0,0,0,PL,7942,73108,2016
369,N,1,0,0,0,SE,11000,111994,2013
370,T,0,0,0,0,IT,6805,187500,2017
371,,1,0,0,0,NL,14007,55000,2008
372,N,1,0,0,0,UK,3276,215251,2019
373,T,0,0,0,0,UK,8854,127115,2015
375,T,0,0,0,0,DE,9328,107900,2010
376,N,0,0,0,0,RO,3600,31000,2009
377,R,0,1,0,0,IT,97458,105000,2006
378,N,1,0,0,0,HU,7343,129100,2015
379,N,1,0,0,0,PL,16000,77400,2009
380,N,1,0,0,0,PL,13083,60830,2008
381,T,0,1,0,0,UA,10459,85000,2011
382,R,0,1,0,0,UA,9500,65900,2005
383,N,0,1,0,0,NL,19072,46800,2006
384,R,1,0,0,0,NL,14952,65000,2007
385,T,0,0,0,0,PL,6058,169574,2018
386,N,0,0,0,0,UA,15415,99000,2012
387,T,0,1,0,0,PL,21000,61470,2008
388,M,0,0,0,0,RO,9900,36000,2003
389,T,1,0,0,0,BE,9047,96000,2009
391,K,1,0,0,0,DE,6658,115000,2016
