,working_hours,location,model,extension,const_year,price
99,2522,FR,308,E2,2017,70000
100,5143,NL,308,D,2009,33500
101,2456,NL,308,E2,2016,56900
102,4068,BE,308,E2,2015,53500
103,2936,IT,308,E2,2013,44000
104,2149,DE,308,C,2019,64700
105,2997,DE,308,E,2016,53900
106,2838,FI,308,NG,2019,75000
107,6673,BE,308,D,2010,24950
108,4907,FI,308,E2,2015,58000
109,2900,NO,308,E2,2014,55954
110,3441,DE,308,E2,2014,35500
111,1115,NL,308,E2,2018,67800
112,1170,CZ,308,E2,2018,63694
113,3213,PL,308,E2,2017,56000
114,4611,FR,308,E2,2017,53000
115,4090,FR,308,E2,2015,52000
116,7966,CZ,308,D,2008,29722
117,1706,NL,308,E2,2017,59000
118,3050,BE,308,E2,2015,45000
119,2000,DE,308,E2,2017,57000
120,2365,DE,308,E2,2016,49950
121,5025,NO,308,E2,2014,57503
122,1689,EE,308,E2,2016,54750
123,1746,BE,308,E,2015,62500
124,4637,NL,308,E,2012,43500
125,3417,LT,308,E2,2016,43000
126,2017,IT,308,E2,2017,59000
127,626,IT,308,E2,2018,72000
128,5700,SE,308,E,2012,39994
129,4071,NL,308,E,2012,41900
130,2580,UA,308,E2,2016,83000
131,3033,BE,308,E2,2017,48750
132,5145,PL,308,E,2015,47448
133,2800,DE,308,E2,2015,51900
134,1411,PL,308,E2,2018,56282
135,5700,IT,308,D,2009,32000
136,5250,SE,308,C,2006,38591
137,3653,PL,308,E2,2017,54109
138,4090,IT,308,E2,2015,51000
139,7617,AT,308,E2,2014,41500
140,2565,CH,308,E2,2016,55229
141,1850,FR,308,E,2017,59500
142,2039,FR,308,E2,2017,40900
143,1311,SE,308,E2,2018,82263
144,2780,IT,308,E2,2017,61000
145,3000,GB,308,E,2016,51320
146,2399,SK,308,E2,2016,60000
147,8300,DE,308,D,2010,28900
148,2660,CH,308,E2,2016,56750
149,4250,AT,308,E2,2016,53900
150,1479,LT,308,E2,2018,67750
151,4400,RO,308,E2,2014,44900
152,687,FI,308,E2,2019,74000
153,2716,IT,308,E2,2017,62000
154,1800,SI,308,E2,2019,78500
155,3960,PL,308,E2,2016,46316
156,2400,FI,308,E2,2018,79900
157,2433,BE,308,E2,2014,46500
158,4865,BE,308,D,2010,38500
159,2176,FR,308,E2,2018,69000
160,2537,FR,308,E2,2018,66000
161,2802,IT,308,E2,2016,57000
162,3079,PL,308,E2,2014,43550
163,6127,IT,308,E2,2014,37000
164,4114,PL,308,E2,2015,44603
165,8600,SE,308,D,2012,46826
166,2851,PL,308,E2,2016,50219
167,4900,UA,308,C,2007,28500
168,785,DE,308,E2,2017,74500
169,1625,GE,308,D,2009,54663
170,9035,NO,308,D,2010,48067
171,3540,FR,308,E2,2016,61000
172,7000,PL,308,D,2010,33180
173,4724,LV,308,E2,2016,49000
174,4000,DE,308,E,2012,42000
175,7698,FI,308,D,2011,43000
176,8110,FI,308,D,2011,52900
177,3250,FR,308,E2,2015,51900
178,1646,IT,308,E2,2017,59000
179,4134,FI,308,E2,2014,59900
180,7700,SE,308,E,2013,46664
181,5338,FI,308,E2,2017,58500
182,1450,BE,308,E2,2017,52450
183,1403,PL,308,E2,2018,56000
184,5664,LT,308,E,2013,39900
185,3500,DE,308,E2,2017,49900
186,1600,PL,308,E2,2017,53150
187,1427,LT,308,E2,2019,69000
188,7681,UA,308,E,2013,50900
189,4430,FR,308,E,2012,41500
190,4484,FR,308,D,2012,38000
191,2580,NL,308,E2,2016,52500
192,310,PL,308,E2,2018,66000
193,1737,PL,308,E2,2018,63119
194,2210,BE,308,E2,2018,67000
195,2281,FR,308,E2,2016,65000
196,2525,DE,308,E,2016,59000
197,4393,ES,308,E,2012,42500
198,1287,FR,308,E2,2017,68000
199,5336,ES,308,D,2011,44500
200,1829,FR,308,E2,2018,72000
201,1,FI,308,E2,2015,49700
202,7,DE,308,E2,2020,74500
203,7,DE,308,E2,2018,74500
204,29,PL,308,E2,2018,54210
205,8906,NO,320,E,2012,78954
206,6070,NL,320,D2,2018,99000
207,550,DE,320,NG,2019,87000
208,9644,NL,320,D,2007,42500
209,7486,NL,320,D,2010,63900
210,6971,DE,320,E,2013,71500
211,12609,NL,320,D,2010,58900
212,6000,NO,320,D,2011,70874
213,5703,NL,320,F,2017,100000
214,10625,SE,320,E,2012,86064
215,10535,TR,320,D,2013,74250
216,2700,NL,320,NG,2020,97500
217,2542,NL,320,NG,2019,97500
218,12000,PL,320,D,2008,21500
219,8600,LV,320,E,2015,83500
220,7740,NL,320,D,2010,61900
221,6000,IT,320,C,2005,48000
222,4980,PL,320,E,2014,88000
223,9508,DE,320,E,2013,68500
224,7134,DE,320,E,2012,68900
225,1302,AT,320,NG,2019,125900
226,10000,DE,320,E,2012,64900
227,8111,BG,320,D,2010,58900
228,9150,DE,320,E,2012,69500
229,7735,NO,320,E,2015,98770
230,13073,NL,320,C,2006,41000
231,3100,BY,320,NG,2020,115000
232,8750,NO,320,E,2014,86780
233,9700,GB,320,D,2007,49453
234,18855,PL,320,C,2003,37284
235,13600,ES,320,D,2010,56000
236,715,BE,320,D3,2020,89000
237,11695,GB,320,D,2011,51192
238,9344,NL,320,C,2005,48500
239,12000,GB,320,D,2007,45765
240,8258,FR,320,D,2011,52000
241,6875,BE,320,E,2015,79500
242,1737,DE,320,NG,2020,165000
243,9300,IE,320,E,2013,66500
244,4355,AT,320,NG,2018,121500
245,7600,NO,320,E,2015,99430
246,9377,PL,320,E,2015,112100
247,16339,NL,320,D,2008,37500
248,12982,NL,320,D,2008,47500
249,14623,NL,320,C,2002,47900
250,5942,BE,320,D2,2017,68880
251,9590,FI,320,E,2013,89500
252,13725,NL,320,D,2009,49800
253,8800,NO,320,E,2014,83580
254,12036,PL,320,C,2005,47044
255,6949,ES,320,E,2016,104500
256,7696,FR,320,F,2016,95000
257,8250,FR,320,D,2011,55000
258,12372,PL,320,E,2012,65000
259,8600,BY,320,D,2010,46900
260,7700,NO,320,E,2015,99770
261,9040,DE,320,E,2013,67500
262,9200,NO,320,D,2011,47326
263,11807,SE,320,E,2013,68563
264,13057,IE,320,B,2005,29950
265,10748,BE,320,E,2014,59000
266,7800,PL,320,E,2014,77500
267,16737,FR,320,D,2010,42900
268,9701,NL,320,E,2013,10000
269,8558,DE,320,E,2013,102221
270,10687,FR,320,E,2012,65000
271,11000,LT,320,E,2015,70000
272,11075,NL,320,D,2008,51900
273,3374,DE,320,NG,2019,159000
274,7800,FI,320,E,2014,105000
275,7720,PL,320,E,2015,74500
276,9674,FI,320,E,2015,98000
277,7814,FI,320,D,2008,46000
278,6900,DE,320,E,2012,69500
279,9996,EE,320,E,2012,62500
280,8300,GB,320,E,2015,71080
281,13213,IE,320,B,2004,30000
282,5027,DE,320,NG,2018,120000
283,17897,NL,320,D,2007,47800
284,12081,NL,320,E,2013,69800
285,8776,PT,320,F,2012,69000
286,8458,NL,320,E,2012,69000
287,1515,FR,320,NG,2018,155000
288,8169,NL,320,E,2014,67800
289,6500,DE,320,E,2016,118000
290,10611,DE,320,E,2012,66000
291,1608,UA,320,D2,2018,117000
292,1750,UA,320,D,2018,115000
293,246,DE,320,NG,2020,134500
294,11760,NL,320,E,2013,66900
295,9500,PL,320,E,2014,61858
296,2710,TR,320,NG,2020,95000
297,9300,FI,320,E,2015,82000
298,12725,FI,320,C,2003,49900
299,4335,FR,320,E,2015,120000
300,8470,TR,320,D,2014,72000
301,7200,FR,320,F,2017,103000
302,3215,PL,320,NG,2020,136000
303,2801,PL,320,NG,2019,128000
304,9322,NL,320,C,2004,39500
305,9000,NL,320,C,2002,39500
306,3744,PL,320,F,2016,156000
307,8500,NO,320,E,2014,64611
308,9950,NO,320,E,2013,71911
309,10600,DE,320,E,2013,60900
310,7337,SE,320,F,2016,116581
311,895,BE,320,D3,2019,89000
312,18706,NL,320,D,2011,49800
313,11147,PL,320,D,2010,41430
314,1403,NL,320,D3,2018,81800
315,1701,NL,320,D3,2020,86800
316,1364,NL,320,D,2018,85800
317,10275,NL,320,E,2012,62900
318,3330,FI,320,F,2017,124900
319,12076,EE,320,E,2013,67900
320,1181,FR,320,NG,2019,150000
321,8443,FR,320,E,2015,70000
322,10458,PL,320,E,2013,70280
323,5905,FI,320,F,2016,125000
324,6876,PL,320,E,2015,83499
325,10649,PL,320,E,2014,79214
326,3531,PL,320,F,2017,144000
327,11135,NL,320,E,2012,65900
328,12700,NL,320,C,2005,47750
329,7461,EE,320,E,2013,73000
330,398,DE,320,NG,2021,159000
331,8811,BE,320,E,2014,69000
332,4771,UK,320,F,2017,71846
333,5805,NL,320,F,2017,84900
334,8657,EE,320,E,2012,73000
335,5200,DE,320,E,2013,93000
336,10128,DE,320,D,2009,54700
337,6390,FI,320,F,2017,119000
338,15878,NL,320,D,2007,56000
339,11322,NL,320,D,2009,51900
340,15191,NL,320,C,2006,44900
341,7408,NO,320,E,2015,79381
342,15049,DE,320,B,2004,34000
343,13000,IE,320,D,2012,55000
344,3100,LV,320,NG,2019,135000
345,5400,LV,320,NG,2018,95000
346,13717,NL,320,D,2007,51500
347,9000,NL,320,C,2005,44500
348,6500,NO,320,E,2014,84404
349,10430,EE,320,D,2006,43900
350,6463,DE,320,E,2012,79000
351,1925,BE,320,NG,2018,137000
352,6811,SK,320,E,2016,97000
353,3862,NL,320,NG,2019,119500
354,6779,NL,320,E,2014,72500
355,13300,DE,320,D,2008,47000
356,7482,NL,320,E,2012,147500
357,9100,BE,320,E,2013,58000
358,9600,BE,320,E,2013,58000
359,10645,SE,320,E,2014,67683
360,11000,RO,320,D,2012,58000
361,11260,PL,320,E,2012,73272
362,7100,NO,320,E,2015,102372
363,7567,PL,320,D,2011,59000
364,2930,FR,320,F,2017,140000
365,11600,FR,320,E,2013,56500
366,10074,NL,320,E,2015,66800
367,9799,NL,320,C,2005,45000
368,8674,NL,320,D,2009,64950
369,10545,NL,320,D,2007,54900
370,8986,NL,320,E,2013,68900
371,6692,DE,320,E,2015,62000
372,3067,BE,320,F,2017,115000
373,10779,LV,320,E,2013,71000
374,12154,NL,320,E,2013,59900
375,9416,NL,320,C,2003,43500
376,16000,HU,320,C,2004,43411
377,10646,BE,320,D,2011,44000
378,10226,NL,320,D,2008,52900
379,6650,FI,320,E,2015,97000
380,8673,LV,320,E,2014,71000
381,5258,PL,320,E,2016,115000
382,5950,PL,320,E,2014,99940
383,12384,SE,320,C,2005,31520
384,5184,BE,320,D2,2016,64000
385,9300,NL,320,D,2010,52750
386,11000,NL,320,D,2012,69000
387,10789,NL,320,D,2008,46800
388,14900,NL,320,C,2002,41900
389,7200,DE,320,E,2014,77000
390,16105,NL,320,C,2003,41950
391,7153,RU,320,D,2017,101912
392,5423,RU,320,D,2017,108861
393,8550,LV,320,E,2015,77000
394,3559,DE,320,F,2016,115000
395,10688,NL,320,E,2013,61800
396,9381,GB,320,E,2015,66658
397,2000,NO,320,E,2015,78299
398,5061,NL,320,E,2016,82900
399,10579,LT,320,E,2014,85000
400,10330,NO,320,E,2013,74725
401,10618,DE,320,E,2014,65000
402,8137,BE,320,E,2015,69000
403,11500,TR,320,D,2012,59000
404,13495,GB,320,C,2006,51783
405,8500,PT,320,E,2015,85000
406,7450,NO,320,E,2015,78598
407,2722,NL,320,D,2019,82800
408,7400,DE,320,E,2014,79000
409,4184,CH,320,E,2015,112107
410,16000,DE,320,C,2004,43000
411,11000,TR,320,D,2008,52000
412,11180,GB,320,E,2015,70273
413,7300,FI,320,E,2013,109800
414,10300,LV,320,E,2012,52750
415,5647,FI,320,F,2017,110000
416,2300,HU,320,F,2017,120000
417,6719,UK,320,NG,2018,89249
418,6990,PL,320,E,2015,95833
419,9990,PL,320,E,2013,76666
420,4440,FR,320,F,2016,135000
421,2664,PL,320,NG,2018,132000
422,2755,PL,320,NG,2019,122000
423,11054,GB,320,D,2008,53033
424,13000,TR,320,D,2011,52000
425,14725,PL,320,E,2013,137000
426,3713,NL,320,D3,2019,78900
427,6304,FR,320,E,2013,94000
428,10781,NL,320,E,2013,66000
429,8221,NL,320,D,2013,49750
430,9690,NL,320,D,2011,47000
431,10650,NL,320,D,2010,57000
432,11100,BE,320,E,2012,56500
433,10563,PL,320,E,2015,62280
434,7900,PL,320,E,2015,76000
435,6006,PL,320,E,2011,59700
436,7200,PL,320,C,2005,35500
437,6226,PL,320,E,2015,83750
438,7789,PL,320,E,2016,83540
439,1400,DE,320,E,2018,88500
440,1940,DE,320,NG,2018,119500
441,6821,DE,320,F,2017,84000
442,6386,DE,320,E,2014,79900
443,10078,NL,320,E,2014,59800
444,1298,DE,320,NG,2019,149500
445,2350,BE,320,D2,2016,80000
446,14914,BE,320,D2,2013,10000
447,954,NL,320,NG,2018,97800
448,2710,NL,320,NG,2018,89800
449,6437,NL,320,E,2016,79800
450,12661,NL,320,D,2008,45800
451,10416,FR,320,D,2008,13899
452,9103,NL,320,D,2008,45000
453,9172,TR,320,D,2014,73900
454,6872,UA,320,E,2015,84500
455,13597,NL,320,C,2005,34800
456,7520,DE,320,E,2014,69000
457,6500,HU,320,E,2016,79500
458,20000,PL,320,D,2011,41000
459,8700,FR,320,D,2011,84000
460,9000,RO,320,D,2011,42900
461,5000,DE,320,F,2016,19500
462,8900,DE,320,E,2013,62900
463,4400,PL,320,E,2013,110000
464,2459,PL,320,E,2015,84127
465,10895,HU,320,E,2014,82750
466,5800,FR,320,E,2015,90000
467,5600,PL,320,D,2010,75000
468,2799,NL,320,D3,2018,84900
469,9547,NL,320,C,2005,42000
470,10312,NL,320,C,2006,42000
471,6771,CH,320,E,2014,81203
472,8388,DE,320,E,2014,85000
473,5968,DE,320,E,2014,120000
474,10517,DE,320,D,2007,51000
475,2000,DE,320,NG,2017,105000
476,8091,DE,320,F,2016,85000
477,3869,DE,320,NG,2018,149000
478,3308,DE,320,NG,2018,155000
479,7804,NO,320,E,2014,85019
480,1346,HU,320,NG,2019,129900
481,8839,NL,320,D2,2017,66500
482,5888,UA,320,E,2015,110000
483,2225,PL,320,F,2017,135000
484,3738,FI,320,F,2016,126800
485,3950,SE,320,E,2014,107579
486,6761,BE,320,E,2013,65950
487,9346,NO,320,E,2011,73165
488,8000,PL,320,E,2014,69972
489,4322,SE,320,E,2015,120607
490,10800,FI,320,E,2015,89000
491,8463,SE,320,E,2015,76888
492,765,UK,320,NG,2018,105149
493,4065,NL,320,D2,2018,84800
494,9197,NL,320,C,2003,44000
495,7983,UA,320,D,2012,69000
496,13369,NL,320,C,2003,46900
497,3093,PL,320,E,2014,97876
498,5273,EE,320,E,2015,79000
499,6771,PL,320,E,2015,73898
500,10684,FR,320,E,2013,55000
501,16950,HU,320,C,2002,36600
502,4670,RO,320,E,2014,93000
503,7236,EE,320,E,2015,76900
504,7632,PL,320,E,2016,84361
505,7176,PL,320,E,2015,76078
506,4841,ES,320,E,2015,92000
507,9470,RU,320,D2,2016,81329
508,8000,PT,320,D,2007,40700
509,2170,PL,320,NG,2019,133000
510,14613,NL,320,C,2005,41800
511,2956,SE,320,F,2016,154729
512,4662,PL,320,F,2017,86977
513,2239,PL,320,NG,2018,136000
514,14000,PL,320,D,2011,45000
515,12095,PL,320,E,2013,62980
516,8822,FR,320,D,2011,62000
517,18730,PL,320,C,2007,38650
518,7370,FR,320,E,2012,74500
519,6600,FR,320,E,2016,75000
520,1800,FR,320,F,2017,124000
521,5423,BE,320,D2,2017,110000
522,8521,EE,320,E,2012,80000
523,8287,PL,320,E,2015,74000
524,7549,PL,320,E,2016,78000
525,6512,PL,320,E,2014,78000
526,3150,BE,320,F,2017,105000
527,9685,PL,320,E,2012,57240
528,13488,AT,320,E,2013,57000
529,5300,DE,320,E,2015,93000
530,10911,DE,320,C,2004,44500
531,13551,PL,320,D,2012,62000
532,8122,DE,320,E,2015,72900
533,15801,NL,320,D,2011,51900
534,3588,FR,320,E,2013,114000
535,7780,DE,320,F,2015,95000
536,2262,DE,320,F,2017,109900
537,7893,BE,320,E,2015,69500
538,1730,DE,320,NG,2017,110500
539,5021,AT,320,E,2015,76300
540,5300,PL,320,E,2015,79000
541,9740,NL,320,E,2013,69950
542,2190,BE,320,F,2017,119900
543,5100,BE,320,E,2014,87500
544,4050,PL,320,E,2016,119000
545,9500,PL,320,D,2008,44000
546,6840,FR,320,E,2015,80000
547,9036,NL,320,C,2005,55900
548,13466,NL,320,D,2010,51500
549,8150,DE,320,E,2012,69500
550,9364,DE,320,E,2014,67000
551,5692,DE,320,E,2015,79000
552,4602,DE,320,E,2015,89500
553,2701,NL,320,E,2015,115000
554,12499,NL,320,D,2006,42800
555,13272,NL,320,D,2008,45000
556,10137,LT,320,E,2012,65000
557,10000,RO,320,D,2011,59000
558,8445,NL,320,C,2004,59800
559,9390,NL,320,E,2013,71500
560,6000,LT,320,E,2016,60500
561,4957,NL,320,F,2017,86600
562,7285,RU,320,D,2007,67370
563,6626,RU,320,D,2013,84130
564,7260,RU,320,D,2012,75960
565,7633,RU,320,D,2008,69920
566,8655,RU,320,D,2008,72030
567,4904,RU,320,D,2012,92710
568,5760,RU,320,D,2010,58450
569,11318,RU,320,D,2009,59620
570,11027,RU,320,D,2006,62140
571,6761,BE,320,E,2015,69950
572,8903,RU,320,D,2007,53260
573,10448,RU,320,C,2002,52200
574,14530,NL,320,D,2009,42500
575,5000,LT,320,E,2016,72000
576,12596,NL,320,D,2008,42500
577,9448,NO,320,E,2015,93879
578,6000,NO,320,E,2015,96660
579,9765,NL,320,C,2004,35000
580,13000,LV,320,D,2008,50000
581,8500,FR,320,E,2014,85000
582,9876,NL,320,D,2008,45000
583,9624,NL,320,C,2006,42000
584,6345,FR,320,E,2015,85900
585,15200,NL,320,D,2007,45500
586,18200,NL,320,D,2008,42000
587,3239,LT,320,NG,2018,125000
588,8800,ES,320,E,2015,89000
589,4313,DE,320,E,2013,78950
590,16000,NL,320,D,2009,45000
591,3577,NL,320,D3,2019,86800
592,6400,RO,320,E,2012,68000
593,11500,FI,320,D,2011,63900
594,7107,PL,320,F,2017,85000
595,2480,NL,320,D2,2018,91800
596,10573,AT,320,E,2013,64900
597,10117,NL,320,D,2008,55000
598,10035,NL,320,E,2014,69500
599,6000,DE,320,D,2011,89500
600,2561,DE,320,E,2013,138500
601,10500,DE,320,C,2005,31900
602,7466,NL,320,E,2014,67800
603,5375,DE,320,E,2015,98900
604,2656,DE,320,NG,2018,140000
605,8700,NO,320,E,2014,77310
606,8680,TR,320,D,2012,50000
607,8900,BE,320,E,2012,69000
608,7350,EE,320,E,2013,76000
609,3000,LT,320,E,2015,75000
610,16000,TR,320,D,2008,47900
611,4700,BE,320,E,2016,108900
612,5700,BE,320,E,2014,87500
613,4250,BE,320,F,2017,116900
614,3200,BE,320,F,2017,119900
615,10407,BE,320,E,2013,57000
616,3580,BE,320,F,2016,119000
617,6136,EE,320,F,2017,90000
618,1534,PL,320,NG,2019,144000
619,1791,PL,320,NG,2018,141000
620,2218,FR,320,F,2017,145000
621,3531,FR,320,F,2017,137000
622,3089,PL,320,E,2014,99000
623,3929,NL,320,D3,2018,84900
624,2322,NL,320,D2,2018,89900
625,11254,NL,320,D,2009,45000
626,10048,NL,320,E,2015,66900
627,4500,LT,320,E,2015,58500
628,12257,NL,320,D,2012,50800
629,15161,LV,320,D,2007,35000
630,8256,NL,320,C,2005,47500
631,16000,FI,320,D,2007,59500
632,6786,NL,320,E,2015,85000
633,7983,NL,320,D,2012,49500
634,6600,PL,320,E,2014,69240
635,8500,PL,320,E,2012,66930
636,11212,NL,320,C,2003,39800
637,4218,PL,320,E,2016,94510
638,5615,DE,320,E,2014,120000
639,7460,DE,320,E,2014,91300
640,36,NL,320,NG,2021,121800
641,5,NL,320,D3,2022,102500
642,6,NL,320,D2,2016,125000
643,4,NL,320,D,2021,99800
644,5,NL,320,D3,2021,99800
645,7,NL,320,D3,2021,99800
646,8,NL,320,D3,2021,99800
647,5,BE,320,D3,2021,99500
648,7,NL,320,NG,2020,118000
649,10,NL,320,D3,2020,98500
650,8,NL,320,D3,2020,102000
651,4,BE,320,D3,2021,105000
652,6,NL,320,D3,2021,99800
653,7,UA,320,D3,2021,139800
654,15,UA,320,D3,2021,135000
655,10,LU,320,D3,2021,109000
656,3,NL,320,D,2021,94000
657,7,NL,320,D3,2021,94000
658,9,BE,320,NG,2021,119000
659,5,NL,320,D3,2021,95000
660,7,NL,320,D3,2021,95000
661,10,NL,320,D3,2021,109000
662,33,DE,320,NG,2019,165000
663,5,UA,320,D,2021,126000
664,7,NL,320,D3,2021,97500
665,5,RO,320,D3,2021,114900
666,7,NL,320,D3,2020,95000
667,6,NL,320,D3,2020,94000
668,13,UA,320,D3,2021,110000
669,7,NL,320,D3,2020,97500
670,8,FR,320,D,2011,62000
671,4,NL,320,D3,2021,97500
672,3,FR,320,E,2013,114000
673,8,LU,320,D3,2020,102500
674,8,LU,320,D3,2021,112500
675,7,PL,320,F,2017,85000
676,6,FR,320,E,2015,80000
677,4,PL,320,E,2016,119000
678,9,RU,320,D2,2016,80478
679,2,FR,320,F,2017,145000
680,9,PT,320,E,2012,120000
681,8,FR,320,E,2014,85000
682,1,PL,320,NG,2019,144000
683,4,SK,320,E,2014,105000
684,3,BE,320,F,2016,119000
685,1,PL,320,NG,2018,141000
686,2,DE,320,NG,2018,140000
687,3,NL,320,D,2021,97500
688,7,NL,320,D,2020,99800
689,10,AT,320,E,2013,76018
690,7,PT,320,F,2017,127500
691,5,UK,320,NG,2018,99561
692,7,RU,320,D2,2017,99711
693,3,FR,320,F,2017,137000
694,5,RU,320,D2,2017,106510
695,6,RU,320,D2,2017,104244
696,9,ES,320,E,2012,83000
697,8,NL,320,D3,2020,102500
698,7,NL,320,D3,2020,102500
699,5,NL,320,D3,2021,97500
700,6,NL,320,D3,2021,112500
701,8,NL,320,D3,2021,109500
702,7,BE,320,D3,2021,104500
703,11483,FI,323,E,2012,86700
704,12081,EE,323,E,2013,67900
705,13900,DE,323,D,2009,55000
706,8765,NL,323,E,2014,75000
707,1621,NL,323,D3,2021,94800
708,2820,IT,323,E,2016,97000
709,6273,NO,323,E,2015,107391
710,9362,DE,323,E,2014,70000
711,12800,DE,323,D,2011,59900
712,7100,DE,323,D,2011,75000
713,6140,DE,323,E,2012,79990
714,7400,PL,323,F,2016,105500
715,8500,NL,323,E,2011,69000
716,11000,DE,323,E,2013,66900
717,7280,DE,323,E,2012,52941
718,19495,NL,323,D,2010,46800
719,2924,FR,323,E,2016,145000
720,8900,DE,323,E,2012,53900
721,4274,FR,323,F,2017,145000
722,7633,NL,323,E,2013,66500
723,7660,NL,323,D,2011,67500
724,5437,FR,323,E,2016,150000
725,14800,DE,323,D,2007,47000
726,9227,DE,323,D,2010,61000
727,13250,IT,323,D,2008,46500
728,5955,NO,323,E,2014,119007
729,3477,FR,323,E,2016,125000
730,7800,DE,323,E,2014,81000
731,17100,PL,323,D,2007,36500
732,12079,NO,323,E,2013,70550
733,10031,PL,323,D,2011,60730
734,9240,PL,323,F,2017,117212
735,8800,BE,323,D,2008,55000
736,12200,NL,323,D,2010,49900
737,11500,DE,323,E,2013,66900
738,11241,SE,323,D,2008,45804
739,6733,DE,323,D,2009,77000
740,9216,NL,323,D,2009,51500
741,18849,AT,323,D,2008,45850
742,9576,NL,323,D,2011,57000
743,12530,IT,323,D,2008,35000
744,6547,DE,323,F,2017,92000
745,8911,PL,323,D,2011,71600
746,3900,PT,323,F,2019,140000
747,17786,NL,323,D,2008,45900
748,8920,PL,323,E,2012,53412
749,10000,PL,323,D,2007,40000
750,15000,NL,323,D,2010,46900
751,3510,SK,323,F,2017,139000
752,12329,NL,323,D,2009,53900
753,12558,NL,323,D,2008,48500
754,3463,NL,323,D3,2020,89800
755,9371,BE,323,D,2010,54000
756,1579,ES,323,F,2018,148000
757,7276,DE,323,E,2012,64000
758,4542,FR,323,E,2016,145000
759,13279,NL,323,D,2007,51900
760,4277,DE,323,NG,2018,169000
761,8200,PL,323,E,2012,72000
762,15094,PL,323,E,2014,62230
763,8600,PL,323,D,2011,55430
764,12120,CZ,323,D,2008,49610
765,3558,GB,323,NG,2019,145359
766,10978,NL,323,E,2013,64800
