index,working_hours,location,extension,model,const_year,price
392,13300,DE,D,320,2008,47000
393,7482,NL,E,320,2012,147500
394,9100,BE,E,320,2013,58000
395,9600,BE,E,320,2013,58000
396,10645,SE,E,320,2014,67683
397,11000,RO,D,320,2012,58000
398,11260,PL,E,320,2012,73272
399,7100,NO,E,320,2015,102372
400,7567,PL,D,320,2011,59000
402,2930,FR,F,320,2017,140000
403,11600,FR,E,320,2013,56500
404,10074,NL,E,320,2015,66800
405,9799,NL,C,320,2005,45000
406,8674,NL,D,320,2009,64950
407,10545,NL,D,320,2007,54900
408,8986,NL,E,320,2013,68900
409,6692,DE,E,320,2015,62000
410,3067,BE,F,320,2017,115000
411,10779,LV,E,320,2013,71000
412,12154,NL,E,320,2013,59900
413,9416,NL,C,320,2003,43500
414,16000,HU,C,320,2004,43411
415,10646,BE,D,320,2011,44000
416,10226,NL,D,320,2008,52900
417,6650,FI,E,320,2015,97000
418,8673,LV,E,320,2014,71000
419,5258,PL,E,320,2016,115000
420,1565,DE,NG,320,2020,179000
421,5950,PL,E,320,2014,99940
422,12384,SE,C,320,2005,31520
423,5184,BE,D2,320,2016,64000
424,9300,NL,D,320,2010,52750
425,11000,NL,D,320,2012,69000
426,10789,NL,D,320,2008,46800
427,14900,NL,C,320,2002,41900
428,7200,DE,E,320,2014,77000
429,16105,NL,C,320,2003,41950
430,7153,RU,D,320,2017,101912
431,5423,RU,D,320,2017,108861
432,8550,LV,E,320,2015,77000
433,3559,DE,F,320,2016,115000
434,10688,NL,E,320,2013,61800
435,9381,GB,E,320,2015,66658
436,2000,NO,E,320,2015,78299
437,5061,NL,E,320,2016,82900
438,10579,LT,E,320,2014,85000
439,10330,NO,E,320,2013,74725
440,10618,DE,E,320,2014,65000
441,8137,BE,E,320,2015,69000
442,11500,TR,D,320,2012,59000
443,13495,GB,C,320,2006,51783
444,8500,PT,E,320,2015,85000
445,7450,NO,E,320,2015,78598
446,2722,NL,D,320,2019,82800
447,7400,DE,E,320,2014,79000
448,4184,CH,E,320,2015,112107
449,16000,DE,C,320,2004,43000
450,11000,TR,D,320,2008,52000
451,11180,GB,E,320,2015,70273
452,7300,FI,E,320,2013,109800
453,10300,LV,E,320,2012,52750
454,5647,FI,F,320,2017,110000
455,2300,HU,F,320,2017,120000
456,6719,UK,NG,320,2018,89249
457,6990,PL,E,320,2015,95833
458,9990,PL,E,320,2013,76666
459,4440,FR,F,320,2016,135000
460,2664,PL,NG,320,2018,132000
461,2755,PL,NG,320,2019,122000
