extension,CR,location,working_hours,price,const_year,model,L,RR,LR,GC,VA,SA,N,H,ME,XE,LGP,XL,3B,4F,MH
E2,1.0,UA,2580,83000,2016,308,,,,,,,,,,,,,,,
E2,1.0,BE,3033,48750,2017,308,,,,,,,,,,,,,,,
E,1.0,PL,5145,47448,2015,308,,,,,,,,,,,,,,,
E2,1.0,DE,2800,51900,2015,308,,,,,,,,,,,,,,,
E2,1.0,PL,1411,56282,2018,308,,,,,,,,,,,,,,,
,1.0,PL,462,60628,2019,308,,,,,,,,,,,,,,,
D,1.0,IT,5700,32000,2009,308,,,,,,,,,,,,,,,
C,1.0,SE,5250,38591,2006,308,,,,,,,,,,,,,,,
E2,1.0,PL,3653,54109,2017,308,,,,,,,,,,,,,,,
E2,1.0,IT,4090,51000,2015,308,,,,,,,,,,,,,,,
E2,1.0,AT,7617,41500,2014,308,,,,,,,,,,,,,,,
,1.0,DE,920,69950,2019,308,,,,,,,,,,,,,,,
E2,0.0,CH,2565,55229,2016,308,,,,,,,,,,,,,,,
E,1.0,FR,1850,59500,2017,308,,,,,,,,,,,,,,,
D,1.0,DE,10000,24900,2011,308,,,,,,,,,,,,,,,
E2,1.0,FR,2039,40900,2017,308,,,,,,,,,,,,,,,
E2,0.0,SE,1311,82263,2018,308,,,,,,,,,,,,,,,
E2,1.0,IT,2780,61000,2017,308,,,,,,,,,,,,,,,
E,1.0,GB,3000,51320,2016,308,,,,,,,,,,,,,,,
E2,1.0,SK,2399,60000,2016,308,,,,,,,,,,,,,,,
D,1.0,DE,8300,28900,2010,308,,,,,,,,,,,,,,,
E2,0.0,CH,2660,56750,2016,308,,,,,,,,,,,,,,,
E2,1.0,AT,4250,53900,2016,308,,,,,,,,,,,,,,,
E2,1.0,LT,1479,67750,2018,308,,,,,,,,,,,,,,,
E2,1.0,RO,4400,44900,2014,308,,,,,,,,,,,,,,,
E2,0.0,FI,687,74000,2019,308,,,,,,,,,,,,,,,
E2,1.0,IT,2716,62000,2017,308,,,,,,,,,,,,,,,
E2,1.0,SI,1800,78500,2019,308,,,,,,,,,,,,,,,
E2,1.0,PL,3960,46316,2016,308,,,,,,,,,,,,,,,
E2,1.0,FI,2400,79900,2018,308,,,,,,,,,,,,,,,
E2,1.0,BE,2433,46500,2014,308,,,,,,,,,,,,,,,
D,1.0,BE,4865,38500,2010,308,,,,,,,,,,,,,,,
E2,1.0,FR,2176,69000,2018,308,,,,,,,,,,,,,,,
E2,1.0,FR,2537,66000,2018,308,,,,,,,,,,,,,,,
E2,0.0,IT,2802,57000,2016,308,,,,,,,,,,,,,,,
E2,1.0,PL,3079,43550,2014,308,,,,,,,,,,,,,,,
E2,1.0,IT,6127,37000,2014,308,,,,,,,,,,,,,,,
E2,1.0,PL,4114,44603,2015,308,,,,,,,,,,,,,,,
D,0.0,SE,8600,46826,2012,308,,,,,,,,,,,,,,,
E2,1.0,PL,2851,50219,2016,308,,,,,,,,,,,,,,,
E,1.0,NL,10625,34500,2013,308,,,,,,,,,,,,,,,
C,0.0,UA,4900,28500,2007,308,,,,,,,,,,,,,,,
E2,1.0,DE,785,74500,2017,308,,,,,,,,,,,,,,,
D,0.0,GE,1625,54663,2009,308,,,,,,,,,,,,,,,
D,1.0,NO,9035,48067,2010,308,,,,,,,,,,,,,,,
E2,1.0,FR,3540,61000,2016,308,,,,,,,,,,,,,,,
D,0.0,PL,7000,33180,2010,308,,,,,,,,,,,,,,,
E2,1.0,LV,4724,49000,2016,308,,,,,,,,,,,,,,,
E,0.0,DE,4000,42000,2012,308,,,,,,,,,,,,,,,
,1.0,PL,1754,78425,2019,308,,,,,,,,,,,,,,,
D,1.0,FI,7698,43000,2011,308,,,,,,,,,,,,,,,
D,1.0,FI,8110,52900,2011,308,,,,,,,,,,,,,,,
E2,1.0,FR,3250,51900,2015,308,,,,,,,,,,,,,,,
E2,1.0,IT,1646,59000,2017,308,,,,,,,,,,,,,,,
E2,0.0,FI,4134,59900,2014,308,,,,,,,,,,,,,,,
E,1.0,SE,7700,46664,2013,308,,,,,,,,,,,,,,,
E2,1.0,FI,5338,58500,2017,308,,,,,,,,,,,,,,,
E2,1.0,BE,1450,52450,2017,308,,,,,,,,,,,,,,,
E2,1.0,PL,1403,56000,2018,308,,,,,,,,,,,,,,,
E,0.0,LT,5664,39900,2013,308,,,,,,,,,,,,,,,
E2,0.0,DE,3500,49900,2017,308,,,,,,,,,,,,,,,
E2,1.0,PL,1600,53150,2017,308,,,,,,,,,,,,,,,
E2,0.0,LT,1427,69000,2019,308,,,,,,,,,,,,,,,
E,1.0,UA,7681,50900,2013,308,,,,,,,,,,,,,,,
E,0.0,FR,4430,41500,2012,308,,,,,,,,,,,,,,,
D,1.0,FR,4484,38000,2012,308,,,,,,,,,,,,,,,
E2,1.0,NL,2580,52500,2016,308,,,,,,,,,,,,,,,
E2,1.0,PL,310,66000,2018,308,,,,,,,,,,,,,,,
E2,1.0,PL,1737,63119,2018,308,,,,,,,,,,,,,,,
E2,1.0,BE,2210,67000,2018,308,,,,,,,,,,,,,,,
E2,1.0,FR,2281,65000,2016,308,,,,,,,,,,,,,,,
E,1.0,DE,2525,59000,2016,308,,,,,,,,,,,,,,,
E,0.0,ES,4393,42500,2012,308,,,,,,,,,,,,,,,
E2,1.0,FR,1287,68000,2017,308,,,,,,,,,,,,,,,
D,1.0,ES,5336,44500,2011,308,,,,,,,,,,,,,,,
E2,1.0,FR,1829,72000,2018,308,,,,,,,,,,,,,,,
E2,0.0,FI,1,49700,2015,308,,,,,,,,,,,,,,,
E2,1.0,DE,7,74500,2020,308,,,,,,,,,,,,,,,
E2,1.0,DE,7,74500,2018,308,,,,,,,,,,,,,,,
E2,1.0,PL,29,54210,2018,308,,,,,,,,,,,,,,,
,,GB,5000,129823,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
,,RU,7340,150972,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,NO,8906,78954,2012,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D2,,NL,6070,99000,2018,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,DE,550,87000,2019,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
D,,NL,9644,42500,2007,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,NL,7486,63900,2010,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,DE,6971,71500,2013,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,NL,12609,58900,2010,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D,,NO,6000,70874,2011,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
F,,NL,5703,100000,2017,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,SE,10625,86064,2012,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,TR,10535,74250,2013,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,NL,2700,97500,2020,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
NG,,NL,2542,97500,2019,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
,,GB,3100,179726,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D,,PL,12000,21500,2008,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,LV,8600,83500,2015,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,NL,7740,61900,2010,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
C,,IT,6000,48000,2005,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,PL,4980,88000,2014,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,DE,9508,68500,2013,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,DE,7134,68900,2012,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,AT,1302,125900,2019,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
E,,DE,10000,64900,2012,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,BG,8111,58900,2010,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,DE,9150,69500,2012,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,NO,7735,98770,2015,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
C,,NL,13073,41000,2006,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,BY,3100,115000,2020,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
E,,NO,8750,86780,2014,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,GB,9700,49453,2007,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
,,FR,578,190000,2020,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
,,FR,726,190000,2020,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
C,,PL,18855,37284,2003,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D,,ES,13600,56000,2010,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
,,GB,3200,175961,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,DE,249,180500,2020,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
D3,,BE,715,89000,2020,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
,,GB,4607,107248,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D,,GB,11695,51192,2011,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
C,,NL,9344,48500,2005,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,GB,12000,45765,2007,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,FR,8258,52000,2011,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,BE,6875,79500,2015,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,DE,1737,165000,2020,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,IE,9300,66500,2013,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
NG,,AT,4355,121500,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,NO,7600,99430,2015,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,PL,9377,112100,2015,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D,,NL,16339,37500,2008,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,NL,12982,47500,2008,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
C,,NL,14623,47900,2002,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D2,,BE,5942,68880,2017,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
E,,FI,9590,89500,2013,320,1.0,0.0,1.0,0.0,,,,,,,,,,,
D,,NL,13725,49800,2009,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,NO,8800,83580,2014,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
C,,PL,12036,47044,2005,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,ES,6949,104500,2016,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
F,,FR,7696,95000,2016,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D,,FR,8250,55000,2011,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,PL,12372,65000,2012,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,BY,8600,46900,2010,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,NO,7700,99770,2015,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
E,,DE,9040,67500,2013,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
