,working_hours,location,model,extension,const_year,price
393,7200,DE,320,E,2014,77000
394,7153,RU,320,D,2017,101912
395,5423,RU,320,D,2017,108861
396,8550,LV,320,E,2015,77000
397,3559,DE,320,F,2016,115000
398,10688,NL,320,E,2013,61800
399,9381,GB,320,E,2015,66658
400,2000,NO,320,E,2015,78299
401,5061,NL,320,E,2016,82900
402,10579,LT,320,E,2014,85000
403,10330,NO,320,E,2013,74725
404,10618,DE,320,E,2014,65000
405,8137,BE,320,E,2015,69000
406,11500,TR,320,D,2012,59000
407,13495,GB,320,C,2006,51783
408,8500,PT,320,E,2015,85000
409,7450,NO,320,E,2015,78598
410,2722,NL,320,D,2019,82800
411,7400,DE,320,E,2014,79000
412,4184,CH,320,E,2015,112107
413,11000,TR,320,D,2008,52000
414,11180,GB,320,E,2015,70273
415,7300,FI,320,E,2013,109800
416,10300,LV,320,E,2012,52750
417,5647,FI,320,F,2017,110000
418,2300,HU,320,F,2017,120000
419,6719,UK,320,NG,2018,89249
420,6990,PL,320,E,2015,95833
421,9990,PL,320,E,2013,76666
422,4440,FR,320,F,2016,135000
423,2664,PL,320,NG,2018,132000
424,2755,PL,320,NG,2019,122000
425,11054,GB,320,D,2008,53033
426,13000,TR,320,D,2011,52000
427,14725,PL,320,E,2013,137000
428,3713,NL,320,D3,2019,78900
429,6304,FR,320,E,2013,94000
430,10781,NL,320,E,2013,66000
431,8221,NL,320,D,2013,49750
432,9690,NL,320,D,2011,47000
433,10650,NL,320,D,2010,57000
434,11100,BE,320,E,2012,56500
435,10563,PL,320,E,2015,62280
436,7900,PL,320,E,2015,76000
437,6006,PL,320,E,2011,59700
438,7200,PL,320,C,2005,35500
439,6226,PL,320,E,2015,83750
440,7789,PL,320,E,2016,83540
441,1400,DE,320,E,2018,88500
442,1940,DE,320,NG,2018,119500
443,6821,DE,320,F,2017,84000
444,6386,DE,320,E,2014,79900
445,10078,NL,320,E,2014,59800
446,1298,DE,320,NG,2019,149500
447,2350,BE,320,D2,2016,80000
448,14914,BE,320,D2,2013,10000
449,954,NL,320,NG,2018,97800
450,2710,NL,320,NG,2018,89800
451,6437,NL,320,E,2016,79800
452,12661,NL,320,D,2008,45800
453,10416,FR,320,D,2008,13899
454,9103,NL,320,D,2008,45000
455,9172,TR,320,D,2014,73900
456,6872,UA,320,E,2015,84500
457,13597,NL,320,C,2005,34800
458,7520,DE,320,E,2014,69000
459,6500,HU,320,E,2016,79500
460,20000,PL,320,D,2011,41000
461,8700,FR,320,D,2011,84000
462,9000,RO,320,D,2011,42900
463,5000,DE,320,F,2016,19500
464,8900,DE,320,E,2013,62900
465,4400,PL,320,E,2013,110000
466,2459,PL,320,E,2015,84127
467,10895,HU,320,E,2014,82750
468,5800,FR,320,E,2015,90000
469,5600,PL,320,D,2010,75000
470,2799,NL,320,D3,2018,84900
471,9547,NL,320,C,2005,42000
472,10312,NL,320,C,2006,42000
473,6771,CH,320,E,2014,81203
474,8388,DE,320,E,2014,85000
475,5968,DE,320,E,2014,120000
476,10517,DE,320,D,2007,51000
477,2000,DE,320,NG,2017,105000
478,8091,DE,320,F,2016,85000
479,3869,DE,320,NG,2018,149000
480,3308,DE,320,NG,2018,155000
481,7804,NO,320,E,2014,85019
482,1346,HU,320,NG,2019,129900
