index,extension,location,working_hours,price,const_year,model,L,RR,LR,GC,VA,SA,N,LGP,XL,3B,4F
299,E,DE,10611,66000,2012,320,1,0,0,0,0,0,0,0,0,0,0
300,D2,UA,1608,117000,2018,320,0,0,0,0,0,0,0,0,0,0,0
301,D,UA,1750,115000,2018,320,0,0,0,0,0,0,0,0,0,0,0
302,NG,DE,246,134500,2020,320,0,0,0,1,0,0,0,0,0,0,0
303,E,NL,11760,66900,2013,320,0,0,0,0,0,0,0,0,0,0,0
304,E,PL,9500,61858,2014,320,1,1,0,0,0,0,0,0,0,0,0
305,NG,TR,2710,95000,2020,320,0,0,0,1,0,0,0,0,0,0,0
306,E,FI,9300,82000,2015,320,1,1,0,0,0,0,0,0,0,0,0
307,E,FR,4335,120000,2015,320,0,0,0,0,0,0,0,0,0,0,0
308,D,TR,8470,72000,2014,320,1,0,0,0,0,0,0,0,0,0,0
309,F,FR,7200,103000,2017,320,1,0,0,0,0,0,0,0,0,0,0
310,NG,PL,3215,136000,2020,320,0,0,0,1,0,0,0,0,0,0,0
311,NG,PL,2801,128000,2019,320,0,0,0,0,0,0,0,0,0,0,0
312,F,PL,3744,156000,2016,320,1,0,0,0,0,0,0,0,0,0,0
313,E,NO,8500,64611,2014,320,1,0,0,0,0,0,0,0,0,0,0
314,,TR,3000,96400,2018,320,0,0,0,0,0,0,0,0,0,0,0
315,E,NO,9950,71911,2013,320,1,0,0,0,0,0,0,0,0,0,0
316,E,DE,10600,60900,2013,320,1,0,0,0,0,0,0,0,0,0,0
317,F,SE,7337,116581,2016,320,1,0,0,0,0,0,0,0,0,0,0
318,D3,BE,895,89000,2019,320,0,0,0,0,0,0,0,0,0,0,0
319,D,NL,18706,49800,2011,320,1,0,0,0,0,0,0,0,0,0,0
320,D,PL,11147,41430,2010,320,1,0,0,0,0,0,0,0,0,0,0
321,D3,NL,1403,81800,2018,320,0,0,0,0,0,0,0,0,0,0,0
322,D3,NL,1701,86800,2020,320,0,0,0,0,0,0,0,0,0,0,0
323,D,NL,1364,85800,2018,320,0,0,0,0,0,0,0,0,0,0,0
324,E,NL,10275,62900,2012,320,1,0,0,0,0,0,0,0,0,0,0
325,F,FI,3330,124900,2017,320,1,0,0,0,0,0,0,0,0,0,0
326,E,EE,12076,67900,2013,320,1,0,0,0,0,0,0,0,0,0,0
327,NG,FR,1181,150000,2019,320,0,0,0,1,0,0,0,0,0,0,0
328,E,FR,8443,70000,2015,320,0,0,0,0,0,0,0,0,0,0,0
329,E,PL,10458,70280,2013,320,1,0,0,0,0,0,0,0,0,0,0
330,F,FI,5905,125000,2016,320,1,0,0,0,0,0,0,0,0,0,0
331,E,PL,6876,83499,2015,320,1,0,0,0,0,0,0,0,0,0,0
332,E,PL,10649,79214,2014,320,1,1,0,0,0,0,0,0,0,0,0
333,F,PL,3531,144000,2017,320,1,0,0,0,0,0,0,0,0,0,0
334,E,NL,11135,65900,2012,320,0,0,0,0,0,0,0,0,0,0,0
335,C,NL,12700,47750,2005,320,0,0,0,0,0,0,0,0,0,0,0
336,E,EE,7461,73000,2013,320,0,0,0,0,0,0,0,0,0,0,0
337,NG,DE,398,159000,2021,320,0,0,0,1,0,0,0,0,0,0,0
338,E,BE,8811,69000,2014,320,1,1,0,0,0,0,0,0,0,0,0
339,F,UK,4771,71846,2017,320,1,0,0,0,0,0,0,0,0,0,0
340,F,NL,5805,84900,2017,320,1,0,0,0,0,0,0,0,0,0,0
341,E,EE,8657,73000,2012,320,1,0,0,0,0,0,0,0,0,0,0
342,E,DE,5200,93000,2013,320,1,0,0,0,0,0,0,0,0,0,0
