;extension;L;N;H;LR;ME;GC;location;working_hours;price;const_year
180;E;1;0;0;0;0;0;DK;9580;128022;2014
181;D;0;0;0;0;0;0;IT;13500;70000;2010
182;E;1;0;1;0;0;0;NL;9072;81800;2013
183;D;1;0;0;0;0;0;CZ;14300;75000;2011
184;E;1;0;1;0;0;0;NL;10791;89800;2013
185;F;1;0;0;0;0;0;DE;5473;169000;2017
186;D;1;0;0;0;0;0;NL;9862;58500;2011
187;D;1;0;0;0;0;0;NL;8922;62500;2010
188;F;1;0;0;0;0;0;UA;560;325800;2015
190;D;1;0;0;0;0;0;BE;6316;129000;2017
191;D;1;0;0;0;0;0;BE;5697;129000;2018
192;D;1;0;0;0;0;0;NL;9215;64500;2012
193;D;1;0;0;0;0;0;NL;9302;59500;2012
194;D;1;0;0;0;0;0;NL;9464;62500;2011
195;E;1;0;1;0;0;0;NL;11873;79800;2014
196;F;1;0;0;0;0;0;DE;7153;143500;2016
197;D;0;0;0;1;0;0;EE;13177;79500;2011
198;NG;0;0;0;0;0;0;NL;1238;189900;2019
199;E;0;0;0;0;0;0;DE;11500;105000;2014
200;E;1;0;0;0;0;0;DE;6943;94000;2013
201;F;1;0;0;0;0;0;DE;4993;329000;2017
202;F;1;0;0;0;0;0;DE;11786;87563;2016
203;D;1;0;0;0;0;0;ES;5180;185000;2015
204;D;1;0;0;1;0;0;PL;13188;78856;2010
205;E;0;0;0;0;0;0;ES;8730;170000;2015
206;E;1;0;1;0;0;0;PL;6981;117506;2014
207;E;1;0;0;0;0;0;PL;10687;86408;2012
208;E;1;0;0;0;0;0;PL;8908;90851;2014
209;E;1;0;0;0;0;0;DE;6800;129000;2014
210;E;1;0;0;0;0;0;DE;10770;99900;2014
211;D2;1;0;0;0;0;0;TR;16165;80000;2015
212;D2;1;0;0;0;0;0;BE;4926;141500;2016
213;E;0;0;0;0;0;0;DE;10500;99950;2012
215;D;1;0;0;0;0;0;DE;9417;96000;2010
216;D;1;0;0;0;0;0;DE;8280;105500;2011
217;F;0;0;0;0;0;0;ES;5767;188000;2015
218;E;1;0;1;0;0;0;UK;7096;113636;2015
219;F;0;0;0;0;0;0;ES;5455;189900;2015
220;E;1;0;1;0;0;0;NL;9066;99750;2014
221;D;1;0;0;0;0;0;SE;11036;86547;2011
222;F;1;0;0;0;0;0;PL;5375;175037;2017
223;F;1;0;0;0;0;0;PL;2710;219907;2017
225;E;1;0;0;0;0;0;PL;9008;89744;2014
226;D;0;0;0;0;0;0;DE;12219;67900;2010
227;E;1;1;0;0;0;0;DE;7350;129000;2014
228;E;0;0;0;0;0;0;ES;9738;133500;2012
229;D;0;0;0;0;0;0;ES;21991;58000;2010
230;D;0;0;0;0;0;0;RU;64211;176027;2018
231;E;0;0;0;0;0;0;FI;14000;115000;2015
232;E;1;0;1;0;0;0;FI;10680;115000;2014
233;E;0;0;0;0;0;0;IT;9336;147000;2014
234;F;1;0;0;0;0;0;LT;8797;132000;2015
235;D;1;1;0;0;0;0;PL;8500;144200;2009
236;E;1;0;0;0;0;0;EE;11869;84500;2014
237;D;1;0;0;0;1;0;NL;16910;56800;2011
239;D2;1;0;0;0;0;0;BE;6539;137500;2016
240;D;1;1;0;0;0;0;PL;13000;65000;2012
242;D2;1;0;0;0;0;0;PL;7119;108500;2015
243;D;1;0;0;0;0;0;NL;10163;58500;2011
244;D;1;0;0;0;0;0;NL;11300;58000;2010
245;E;1;0;0;0;0;0;NO;13070;88938;2014
247;D;0;0;0;1;0;0;NL;17284;93800;2011
248;E;1;0;0;0;0;0;NO;10200;83430;2013
249;D;1;0;0;0;0;0;TR;14663;74000;2013
250;D2;1;0;0;0;0;0;NL;8678;126000;2015
251;D;1;0;0;0;0;0;UA;9862;85000;2011
252;E;1;0;0;0;0;0;NL;19644;72800;2013
253;D2;1;0;0;0;1;0;BE;6682;135000;2015
254;E;1;0;0;0;0;0;NL;8411;115000;2014
255;D;1;0;0;0;0;0;NL;9319;62500;2010
256;E;0;0;0;1;0;0;NL;13256;114500;2013
257;D;0;0;0;0;0;0;NL;5;144800;2018
258;D;1;0;0;0;0;0;UA;6;178200;2017
259;D;0;0;0;1;0;0;NL;5;159800;2018
260;NG;0;0;0;0;0;0;LT;1;275000;2021
261;D;0;0;0;1;0;0;NL;5;269800;2018
262;D2;1;0;0;0;0;0;TR;3;180000;2017
263;D;0;0;0;1;0;0;NL;5;169800;2018
