,extension,L,RR,LR,GC,location,working_hours,price,const_year
233,E,0,0,0,0,FI,7300,109800,2013
234,E,1,0,0,0,LV,10300,52750,2012
235,F,1,0,0,0,FI,5647,110000,2017
236,F,0,0,0,0,HU,2300,120000,2017
237,NG,0,0,0,1,UK,6719,89249,2018
238,E,1,0,0,0,PL,6990,95833,2015
239,E,1,0,0,0,PL,9990,76666,2013
240,F,0,0,0,0,FR,4440,135000,2016
241,NG,0,0,0,0,PL,2664,132000,2018
242,NG,0,0,0,1,PL,2755,122000,2019
243,D,1,0,0,0,GB,11054,53033,2008
244,D,1,0,0,0,TR,13000,52000,2011
245,E,1,0,0,0,PL,14725,137000,2013
246,D3,0,0,0,0,NL,3713,78900,2019
247,E,0,0,0,0,FR,6304,94000,2013
248,E,1,1,0,0,NL,10781,66000,2013
249,D,1,0,0,0,NL,8221,49750,2013
250,D,1,0,0,0,NL,9690,47000,2011
251,D,0,0,0,0,NL,10650,57000,2010
252,E,1,0,0,0,BE,11100,56500,2012
254,E,1,0,0,0,PL,10563,62280,2015
255,E,1,0,0,0,PL,7900,76000,2015
256,D,0,0,1,0,PL,20392,58000,2011
257,E,0,0,0,0,PL,6006,59700,2011
258,C,0,0,0,0,PL,7200,35500,2005
259,E,1,0,0,0,PL,6226,83750,2015
260,E,1,0,0,0,PL,7789,83540,2016
261,E,0,0,0,0,DE,1400,88500,2018
262,NG,0,0,0,1,DE,1940,119500,2018
263,F,1,0,0,0,DE,6821,84000,2017
264,E,1,0,0,0,DE,6386,79900,2014
265,E,1,0,0,0,PL,6774,433000,2015
266,E,1,1,0,0,NL,10078,59800,2014
267,NG,0,0,0,0,DE,1298,149500,2019
268,D2,1,0,0,0,BE,2350,80000,2016
269,E,1,0,0,0,PL,11277,292000,2014
270,D2,1,0,0,0,BE,14914,10000,2013
271,NG,0,0,0,1,NL,954,97800,2018
272,NG,0,0,0,1,NL,2710,89800,2018
273,E,1,0,0,0,NL,6437,79800,2016
274,D,0,0,0,0,NL,12661,45800,2008
275,D,1,0,0,0,FR,10416,13899,2008
276,D,1,0,0,0,NL,9103,45000,2008
277,D,1,0,0,0,TR,9172,73900,2014
278,E,1,0,0,0,UA,6872,84500,2015
279,C,1,0,0,0,NL,13597,34800,2005
280,E,1,0,0,0,DE,7520,69000,2014
281,NG,0,0,0,1,GE,268,170790,2020
282,E,1,0,0,0,HU,6500,79500,2016
283,D,0,0,0,0,PL,20000,41000,2011
284,D,0,0,0,0,FR,8700,84000,2011
285,D,1,0,0,0,RO,9000,42900,2011
286,F,1,0,0,0,DE,5000,19500,2016
287,E,1,0,0,0,DE,8900,62900,2013
